epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,9003.54,1.28258,2.88404,1.01774,0.49197,0.59388,0.54622,0.31481,1.46099,3.02113,1.00499,0.0005075,0.0005075,0.0005075
122,9078.38,1.28892,2.88034,1.00089,0.48295,0.60052,0.53256,0.31748,1.37509,2.99301,0.98894,0.000501313,0.000501313,0.000501313
123,9151.42,1.25537,2.78086,0.99987,0.50291,0.52431,0.51563,0.31293,1.36784,2.99641,0.98655,0.000495125,0.000495125,0.000495125
124,9225.51,1.2662,2.87613,1.00807,0.49844,0.57837,0.52026,0.32154,1.35196,3.00767,0.9815,0.000488938,0.000488938,0.000488938
125,9299.1,1.2372,2.77779,0.99483,0.49918,0.55578,0.52037,0.33009,1.3313,2.95177,0.97477,0.00048275,0.00048275,0.00048275
126,9372.55,1.27934,2.88182,1.01766,0.56049,0.54084,0.51856,0.32615,1.33828,3.09782,0.97838,0.000476562,0.000476562,0.000476562
127,9446.27,1.26955,2.86006,1.02083,0.44782,0.64772,0.52293,0.32613,1.31053,2.94582,0.96957,0.000470375,0.000470375,0.000470375
128,9520.23,1.27605,2.87486,1.01371,0.52013,0.54563,0.53541,0.33895,1.25247,2.92675,0.95926,0.000464188,0.000464188,0.000464188
129,9596.05,1.28676,2.85415,1.00894,0.49024,0.61506,0.52252,0.31693,1.40656,2.96506,0.99322,0.000458,0.000458,0.000458
130,9669.06,1.2404,2.82577,1.02703,0.48542,0.5882,0.49314,0.30889,1.32505,2.98652,0.9786,0.000451813,0.000451813,0.000451813
131,9743.66,1.26319,2.80201,1.00941,0.45325,0.60133,0.48256,0.28932,1.3786,2.97897,0.98073,0.000445625,0.000445625,0.000445625
132,9822.29,1.3097,2.90371,1.01177,0.46058,0.5849,0.50281,0.32384,1.27659,2.90509,0.96452,0.000439437,0.000439437,0.000439437
